,Id,Personal URL,Profile Cover Image Status,Profile Text Color R,Profile Text Color G,Profile Text Color B,Profile Page Color R,Profile Page Color G,Profile Page Color B,Profile Theme Color R,Profile Theme Color G,Profile Theme Color B,Is Profile View Size Customized?,Location Public Visibility,Profile Creation Month,Profile Creation Day,Profile Creation WeekDay,Profile Creation Hour,User Language,Num of Followers,Num of People Following,Num of Status Updates,Num of Direct Messages,Avg Daily Profile Visit Duration in seconds,Avg Daily Profile Clicks,Profile Image,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,-39600,-36000,-28800,-25200,-21600,-18000,-14400,-10800,-7200,0,3600,7200,10800,14400,16200,18000,19800,21600,25200,28800,32400,36000,37800,39600,46800,Not verified,Pending,Verified,business,celebrity,government,unknown,Num of Profile Likes
2,JS49LP5P72RI1OQB,0,1,0.12,0.76,0.87,0.94,0.94,0.94,0.12,0.76,0.87,0,1,10,2,4,20,6,4.12856080655932,3.273464272621346,3.672005445022952,2.357934847000454,1.5185139398778875,0.3010299956639812,JS49LP5P72RI1OQB.png,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3.1931245983544616
4,CRSEMK4QER6LDJSA,1,1,0.35,0.26,0.3,0.97,0.97,0.97,0.0,0.0,0.0,0,1,3,31,1,13,6,3.964542466079137,1.9731278535996986,3.514813294999285,2.1172712956557644,0.9542425094393249,0.6989700043360189,CRSEMK4QER6LDJSA.png,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3.0330214446829107
5,0FEKBQ59AF1LQKJP,1,1,0.0,0.49,0.76,0.87,0.93,0.96,0.2,0.58,0.82,0,1,9,30,3,17,6,4.7091596768910335,2.3729120029701067,4.200905191684992,2.6711728427150834,1.5185139398778875,0.3010299956639812,0FEKBQ59AF1LQKJP.png,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2.230448921378274
8,ORJN6I5G6NA6QD0Q,0,1,0.96,0.67,0.71,0.88,0.88,0.88,0.88,0.8,0.88,0,0,5,25,0,23,6,4.281283412492966,2.1492191126553797,3.42781057267599,2.320146286111054,1.3222192947339193,0.8450980400142568,ORJN6I5G6NA6QD0Q.png,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.0930713063760633
9,5JIAFD6132MNPAL9,0,1,0.11,0.63,0.95,0.87,0.93,0.96,0.75,0.87,0.93,1,1,10,17,0,14,6,5.899708906132867,2.869818207979328,4.2871744603745015,2.380211241711606,1.5440680443502757,0.6020599913279624,5JIAFD6132MNPAL9.png,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.722633922533812
11,2S83AQ0TGH8Q8KNL,1,1,0.01,0.09,0.12,0.87,0.93,0.96,0.0,0.05,0.07,0,1,3,26,5,12,24,5.744369662585817,1.6901960800285136,4.5513157851214805,2.792391689498254,1.041392685158225,0.3010299956639812,2S83AQ0TGH8Q8KNL.png,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.6232492903979006
14,PS3NFITO4RQGQL9R,1,1,0.71,0.66,0.54,0.87,0.93,0.96,0.0,0.0,0.0,0,0,7,29,4,0,6,4.836722774548262,1.568201724066995,3.4874212113594742,2.506505032404872,1.4771212547196624,0.7781512503836436,PS3NFITO4RQGQL9R.png,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.99563519459755
15,LAEAHANFKHLRGF65,0,1,0.11,0.63,0.95,0.87,0.93,0.96,0.75,0.87,0.93,1,1,2,18,0,21,13,5.9264458622631,1.7403626894942439,2.5550944485783194,3.132899769944483,1.3010299956639813,0.0,LAEAHANFKHLRGF65.png,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.8260748027008264
18,10BF1GQ7IRRJE29K,0,1,0.75,0.34,0.0,0.65,0.65,0.64,0.03,0.03,0.03,0,1,4,22,3,14,6,5.293782280330023,2.5185139398778875,4.091455913055092,3.16761267272753,1.568201724066995,0.47712125471966244,10BF1GQ7IRRJE29K.png,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3.1775364999298623
19,ORQMDHLH6NS0G0M0,1,1,0.31,0.4,0.42,0.0,0.4,0.6,0.0,0.0,0.0,0,0,10,1,4,9,6,5.31516184758415,2.5403294747908736,3.2278867046136734,2.8027737252919755,0.8450980400142568,0.0,ORQMDHLH6NS0G0M0.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3.2669369111591733
